Account,date,classification,value,daily_pnl,total_trades,win_count,avg_trade_size,long_count,short_count,win_rate,ls_ratio,sentiment_group,segment
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,2025-01-28,Greed,72,6959.984986,121,83,1173.1775206611571,38,83,0.6859504132231405,0.4578313253012048,Greed,Frequent Retail
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,2025-01-29,Greed,72,1193.2639530000001,76,55,967.4096052631579,21,55,0.7236842105263158,0.38181818181818183,Greed,Frequent Retail
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,2025-01-30,Greed,70,1072.220367,268,79,1278.6088059701492,128,140,0.2947761194029851,0.9142857142857143,Greed,Frequent Retail
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,2025-01-31,Extreme Greed,76,3143.489896,249,154,1556.0202409638553,142,107,0.6184738955823293,1.3271028037383177,Greed,Frequent Retail
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,2025-02-01,Greed,68,2954.521713,187,133,1204.9785026737968,73,114,0.7112299465240641,0.6403508771929824,Greed,Frequent Retail
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,2025-02-02,Greed,60,-329.680689,131,38,1839.5793129770993,73,58,0.2900763358778626,1.2586206896551724,Greed,Frequent Retail
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,2025-02-03,Fear,44,5803.573999,325,138,1758.0771384615382,126,199,0.4246153846153846,0.6331658291457286,Fear,Frequent Retail
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,2025-02-04,Greed,72,806.765131,248,71,1351.8856048387097,99,149,0.2862903225806452,0.6644295302013423,Greed,Frequent Retail
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,2025-02-05,Neutral,54,713.82809,14,11,3668.815,11,3,0.7857142857142857,3.6666666666666665,Neutral,Frequent Retail
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,2025-02-06,Neutral,49,1212.452697,29,26,1363.3675862068965,22,7,0.896551724137931,3.142857142857143,Neutral,Frequent Retail
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,2025-02-07,Fear,44,2631.225181,125,50,2059.84464,75,50,0.4,1.5,Fear,Frequent Retail
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,2025-02-08,Fear,44,-189.463436,13,1,2671.7584615384617,0,13,0.07692307692307693,0.0,Fear,Frequent Retail
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,2025-02-09,Neutral,46,204.72190899999998,56,21,1334.912142857143,35,21,0.375,1.6666666666666667,Neutral,Frequent Retail
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,2025-02-10,Fear,43,3796.008199,140,91,1484.4517857142857,49,91,0.65,0.5384615384615384,Fear,Frequent Retail
